SERVICE CODES,CLASS,SERVCIE NAME,Service Indication,Rate Card Type,Category
GSFASLAR,General Services ,FACIAL - AROMA SKIN LIGHTENING,Standard Service,Standard rate card,Exotic Facial
GSFACLGL,General Services ,FACIAL - GOLD,Standard Service,Standard rate card,Exotic Facial
GSFBASNR,General Services ,BRIGHT AND SHINE FACIAL ,Standard Service,Standard rate card,Exotic Facial
GSFRFARA,General Services ,FACIAL - FAIR BLOOM ,Standard Service,Standard rate card,Exotic Facial
GSFWHSNR,General Services ,WHITE SPARKLE FACIAL,Standard Service,Standard rate card,Exotic Facial
GSFGLRNR,General Services ,GLOWING RADIANCE FACIAL,Standard Service,Standard rate card,Exotic Facial
GSFACLSG,General Services ,SKIN BRIGHTENING,Standard Service,Standard rate card,Exotic Facial
GSPLGFRA,General Services ,FACIAL - PLATINUM GLOW ,Standard Service,Standard rate card,Exotic Facial
GSPWFCNR,General Services ,PERFECT WHITE FACIAL  ,Standard Service,Exclusive rate card ,Exotic Facial
GSKGFC24,General Services ,24 KARAT GOLD FACIAL,Standard Service,Exclusive rate card ,Exotic Facial
GSGNWSNR,General Services ,GLOW N WHITE,Standard Service,Standard rate card,Exotic Facial
GSFASLAD,General Services ,SKIN LIGHTENING-ADVANCED ,Standard Service,Standard rate card,Exotic Facial
GSPWFCAD,General Services ,PERFECT WHITE - ULTIME FACIAL ,Standard Service,Exclusive rate card ,Exotic Facial
GSKGFCAD,General Services ,24 KARAT GOLD- ULTIME FACIAL,Standard Service,Exclusive rate card ,Exotic Facial
GSFACLOX,General Services ,FACIAL - OXYGEN,Standard Service,Standard rate card,Exotic Facial
GSFACLSB,General Services ,VERY STRAWBERRY VITAMIN C FACE SPA,Standard Service,Standard rate card,Facial
GSFACLCH,General Services ,CHOCOLATE FACE SPA ,Standard Service,Standard rate card,Facial
GBCRBLNK,General Services ,CREAM BLEACH-NECK,Standard Service,Standard rate card,Bleaching
GSCRBLFC,General Services ,CREAM BLEACH-FACE,Standard Service,Standard rate card,Bleaching
GBCRBLFT,General Services ,CREAM BLEACH-FEET,Standard Service,Standard rate card,Bleaching
GHIRONNR,General Services ,IRONING,Standard Service,Standard rate card,Advanced Styling
GHPERMNR,General Services ,PERMING ,Standard Service,Standard rate card,Advanced Styling
GHLPKSSH,General Services ,STRAIGHT N SHINE  - SHORT,Standard Service,Standard rate card,Advanced Styling
GHLPKSME,General Services ,STRAIGHT N SHINE  -  MEDIUM,Standard Service,Standard rate card,Advanced Styling
GHLPKBSH,General Services ,REBOND N SHINE  - SHORT,Standard Service,Standard rate card,Advanced Styling
GHLPKBME,General Services ,REBOND N SHINE   - MEDIUM,Standard Service,Standard rate card,Advanced Styling
GHSTNGNR,General Services ,STRAIGHTNING - SHORT ,Standard Service,Standard rate card,Advanced Styling
GHSTNGME,General Services ,STRAIGHTNING - MEDIUM ,Standard Service,Standard rate card,Advanced Styling
GHREBONR,General Services ,REBONDING -SHORT,Standard Service,Standard rate card,Advanced Styling
GHREBOLO,General Services ,REBONDING - MEDIUM,Standard Service,Standard rate card,Advanced Styling
GHSETGPR,General Services ,PARTY HAIR SETTING,Standard Service,Standard rate card,Party Make up
GSMKUPPR,General Services ,PARTY MAKE-UP,Standard Service,Standard rate card,Party Make up
GSPAMACP,General Services ,PARTY MAKEUP - MAC ,Standard Service,Standard rate card,Party Make up
