SERVICE CODES,CLASS,SERVCIE NAME,Service Indication,Rate Card Type,Category
LHLPKBSH,General Services ,REBOND N SHINE - SHORT,STANDARD SERVICE,STANDARD RATE CARD,ADVANCED STYLING
LHLPKBME,General Services ,REBOND N SHINE- MEDIUM,STANDARD SERVICE,STANDARD RATE CARD,ADVANCED STYLING
LHLPKBLO,General Services ,REBOND N SHINE- LONG,STANDARD SERVICE,STANDARD RATE CARD,ADVANCED STYLING
LHSTNGSH,General Services ,STRAIGHTENING - SHORT,STANDARD SERVICE,STANDARD RATE CARD,ADVANCED STYLING
LHSTNGME,General Services ,STRAIGHTENING - MEDIUM,STANDARD SERVICE,STANDARD RATE CARD,ADVANCED STYLING
LHSTNGLG,General Services ,STRAIGHTENING - LONG,STANDARD SERVICE,STANDARD RATE CARD,ADVANCED STYLING
LHREBSSS,General Services ,REBONDING SHORT ,STANDARD SERVICE,STANDARD RATE CARD,ADVANCED STYLING
LHREBOSH,General Services ,REBONDING MEDIUM,STANDARD SERVICE,STANDARD RATE CARD,ADVANCED STYLING
LHREBOME,General Services ,REBONDING LONG,STANDARD SERVICE,STANDARD RATE CARD,ADVANCED STYLING
LBBMSGNR,General Services ,BODY MASSAGE- REGULAR,STANDARD SERVICE,STANDARD RATE CARD,MASSAGE
LBBMSGSB,General Services ,BODY MASSAGE WITH SCRUB,STANDARD SERVICE,STANDARD RATE CARD,MASSAGE
LSFACLMN,General Services ,CLEAN UP,STANDARD SERVICE,STANDARD RATE CARD,FACIAL
LSFACLFS,General Services ,FACIAL - FRUIT SECRETS,STANDARD SERVICE,STANDARD RATE CARD,FACIAL
LSFACLHS,General Services ,FACIAL - HERBAL SECRETS,STANDARD SERVICE,STANDARD RATE CARD,FACIAL
LSFASLAR,General Services ,FACIAL - AROMA SKIN LIGHTINING,STANDARD SERVICE,STANDARD RATE CARD,FACIAL
LSFACLGL,General Services ,FACIAL - GOLD,STANDARD SERVICE,STANDARD RATE CARD,FACIAL
LSFBASNR,General Services ,BRIGHT AND SHINE FACIAL ,STANDARD SERVICE,STANDARD RATE CARD,FACIAL
LSFRFARA,General Services ,FACIAL - FAIR BLOOM ,STANDARD SERVICE,STANDARD RATE CARD,FACIAL
LSFWHSNR,General Services ,WHITE SPARKLE FACIAL,STANDARD SERVICE,STANDARD RATE CARD,FACIAL
LSFGLRNR,General Services ,GLOWING RADIANCE FACIAL,STANDARD SERVICE,STANDARD RATE CARD,FACIAL
LSFACLSG,General Services ,SKIN BRIGHTENING,STANDARD SERVICE,STANDARD RATE CARD,FACIAL
LSPLGFRA,General Services ,FACIAL - PLATINUM GLOW ,STANDARD SERVICE,STANDARD RATE CARD,EXOTIC FACIAL
LSPWFCNR,General Services ,PERFECT WHITE FACIAL  ,STANDARD SERVICE,EXCLUSIVE RATE CARD ,EXOTIC FACIAL
LSKGFC24,General Services ,24 KARAT GOLD FACIAL,STANDARD SERVICE,EXCLUSIVE RATE CARD ,EXOTIC FACIAL
LSGNWSNR,General Services ,GLOW 'N' WHITE ,STANDARD SERVICE,STANDARD RATE CARD,EXOTIC FACIAL
LSFASLAD,General Services ,SKIN LIGHTENING-ADVANCED ,STANDARD SERVICE,STANDARD RATE CARD,EXOTIC FACIAL
LSPWFCAD,General Services ,PERFECT WHITE - ULTIME FACIAL ,STANDARD SERVICE,EXCLUSIVE RATE CARD ,EXOTIC FACIAL
LSKGFCAD,General Services ,24 KARAT GOLD- ULTIME FACIAL,STANDARD SERVICE,EXCLUSIVE RATE CARD ,EXOTIC FACIAL
LSFACLOX,General Services ,FACIAL - OXYGEN,STANDARD SERVICE,STANDARD RATE CARD,EXOTIC FACIAL
LSFACLSB,General Services ,VERY STRAWBERRY VITAMIN C FACE SPA,STANDARD SERVICE,STANDARD RATE CARD,FACIAL
LSFACLCH,General Services ,CHOCOLATE FACE SPA ,STANDARD SERVICE,STANDARD RATE CARD,FACIAL
LSEYTRAD,General Services ,EYE TREATMENT ADVANCED,STANDARD SERVICE,STANDARD RATE CARD,FACIAL
LSCRBLUL,General Services ,CREAM BLEACH - UPPER LIP,STANDARD SERVICE,STANDARD RATE CARD,BLEACHING
LBCRBLUA,General Services ,CREAM BLEACH- UNDER ARMS,STANDARD SERVICE,STANDARD RATE CARD,BLEACHING
